# Chemical synapses in the C. elegans
# These data include extrapolated connections from the dataset used by Cook et al.
I1L,I2L,10,Sp
I1L,I3,3,Sp
I1L,I5,2,Sp
I1L,I6,1,Sp
I1L,M2L,3,Sp
I1L,M3L,8,Sp
I1L,M3R,2,Sp
I1L,MCL,2,Sp
I1L,MCR,2,Sp
I1L,MI,2,Sp
I1L,NSML,3,Sp
I1L,pm1,2,Sp
I1L,pm3VL,7,Sp
I1L,pm4D,1,Sp
I1L,pm4VL,2,Sp
I1R,I2R,6,Sp
I1R,I3,1,Sp
I1R,I5,2,Sp
I1R,M1,1,Sp
I1R,M2L,1,Sp
I1R,M2R,3,Sp
I1R,M3L,1,Sp
I1R,M3R,6,Sp
I1R,MCL,3,Sp
I1R,MCR,4,Sp
I1R,MI,1,Sp
I1R,NSML,1,Sp
I1R,NSMR,2,Sp
I1R,pm1,2,Sp
I1R,pm3D,2,Sp
I1R,pm3VR,5,Sp
I1R,pm4D,1,Sp
I1R,pm4VR,2,Sp
I1R,pm5D,2,Sp
I1R,pm5VR,1,Sp
I2L,I1L,2,Sp
I2L,I2R,3,Sp
I2L,I4,13,Sp
I2L,I5,2,Sp
I2L,I6,2,Sp
I2L,M1,1,Sp
I2L,M3R,3,Sp
I2L,M4,4,Sp
I2L,NSML,14,Sp
I2L,NSMR,24,Sp
I2L,pm3VL,1,Sp
I2L,pm4VL,2,Sp
I2L,pm5D,1,Sp
I2L,pm5VL,2,Sp
I2L,pm5VR,1,Sp
I2L,e3VL,1,Sp
I2R,I1R,1,Sp
I2R,I2L,3,Sp
I2R,I4,20,Sp
I2R,I5,2,Sp
I2R,I6,3,Sp
I2R,M1,3,Sp
I2R,M2R,2,Sp
I2R,M3R,2,Sp
I2R,M4,3,Sp
I2R,MCL,1,Sp
I2R,NSML,34,Sp
I2R,NSMR,7,Sp
I2R,pm1,1,Sp
I2R,pm3VR,1,Sp
I2R,pm4D,2,Sp
I2R,pm4VL,1,Sp
I2R,pm5VL,1,Sp
I2R,pm5VR,4,Sp
I2R,e3VR,1,Sp
I3,I1L,1,Sp
I3,I1R,1,Sp
I3,I5,2,Sp
I3,I6,1,Sp
I3,M1,2,Sp
I3,M2L,2,Sp
I3,M3L,2,Sp
I3,M3R,2,Sp
I3,M4,2,Sp
I3,MCL,1,Sp
I3,MCR,2,Sp
I3,MI,1,Sp
I3,NSMR,2,Sp
I3,pm4D,2,Sp
I3,pm5D,4,Sp
I4,I2R,7,Sp
I4,I5,2,Sp
I4,M2L,5,Sp
I4,M3L,6,Sp
I4,M3R,22,Sp
I4,MI,1,Sp
I4,NSML,8,Sp
I4,NSMR,15,Sp
I4,pm4D,1,Sp
I4,pm5VL,11,Sp
I4,pm5VR,2,Sp
I5,I1L,2,Sp
I5,I2L,3,Sp
I5,I2R,1,Sp
I5,I3,1,Sp
I5,I4,7,Sp
I5,M1,3,Sp
I5,M2L,4,Sp
I5,M3L,4,Sp
I5,M3R,2,Sp
I5,M4,19,Sp
I5,M5,2,Sp
I5,MI,4,Sp
I5,NSML,1,Sp
I5,NSMR,5,Sp
I5,pm5VL,4,Sp
I5,pm5VR,14,Sp
I5,pm6VL,1,Sp
I5,g1AL,9,Sp
I5,g1AR,6,Sp
I6,I1R,1,Sp
I6,I2L,1,Sp
I6,I2R,4,Sp
I6,I3,12,Sp
I6,M3L,10,Sp
I6,M4,15,Sp
I6,NSML,24,Sp
I6,NSMR,23,Sp
I6,pm5D,13,Sp
I6,g1p,2,Sp
I6,bm,2,Sp
M1,I1R,1,Sp
M1,I2L,3,Sp
M1,I2R,2,Sp
M1,I3,8,Sp
M1,I4,1,Sp
M1,I5,2,Sp
M1,M4,1,Sp
M1,M5,1,Sp
M1,MI,6,Sp
M1,NSML,2,Sp
M1,pm2D,1,Sp
M1,pm2VL,1,Sp
M1,pm3VL,1,Sp
M1,pm4D,1,Sp
M1,pm5D,3,Sp
M1,e3D,3,Sp
M1,e3VL,1,Sp
M1,g1p,5,Sp
M1,RIPL,1,Sp
M2L,I3,2,Sp
M2L,I4,8,Sp
M2L,I5,2,Sp
M2L,M3L,3,Sp
M2L,M3R,1,Sp
M2L,pm4D,3,Sp
M2L,pm4VL,9,Sp
M2L,pm5D,2,Sp
M2L,pm5VL,21,Sp
M2L,g1AL,8,Sp
M2R,I4,1,Sp
M2R,I5,3,Sp
M2R,M3L,2,Sp
